IMG_0,3n2kN/4p2n/3Pr3/bN6/q1R5/3B2Bb/PRQ4r/1p5K
IMG_1,3n2kN/4p2n/3Pr3/bN6/q1R5/3B2Bb/PRQ4r/1p5K
IMG_2,3n2kN/4p2n/3Pr3/bN6/q1R5/3B2Bb/PRQ4r/1p5K
IMG_3,3n2kN/4p2n/3Pr3/bN6/q1R5/3B2Bb/PRQ4r/1p5K
IMG_4,P3Kn2/Q2N3r/1B2k1B1/2r1P3/1p5b/Rn1p2q1/1NR3b1/8
IMG_5,P3Kn2/Q2N3r/1B2k1B1/2r1P3/1p5b/Rn1p2q1/1NR3b1/8
IMG_6,P3Kn2/Q2N3r/1B2k1B1/2r1P3/1p5b/Rn1p2q1/1NR3b1/8
IMG_7,P3Kn2/Q2N3r/1B2k1B1/2r1P3/1p5b/Rn1p2q1/1NR3b1/8
IMG_8,3R2n1/b2Q2B1/2p1rP2/1n3R1B/K1P5/1N2rb2/3pqN2/7k
IMG_9,3R2n1/b2Q2B1/2p1rP2/1n3R1B/K1P5/1N2rb2/3pqN2/7k
IMG_10,3R2n1/b2Q2B1/2p1rP2/1n3R1B/K1P5/1N2rb2/3pqN2/7k
IMG_11,3R2n1/b2Q2B1/2p1rP2/1n3R1B/K1P5/1N2rb2/3pqN2/7k
IMG_12,2N3p1/3PN1b1/3p4/nb1n1K1B/6r1/Qq4B1/R2R1r1P/6k1
IMG_13,2N3p1/3PN1b1/3p4/nb1n1K1B/6r1/Qq4B1/R2R1r1P/6k1
IMG_14,2N3p1/3PN1b1/3p4/nb1n1K1B/6r1/Qq4B1/R2R1r1P/6k1
IMG_15,2N3p1/3PN1b1/3p4/nb1n1K1B/6r1/Qq4B1/R2R1r1P/6k1
IMG_16,r2PB1q1/4p3/3Q4/3p1N1b/2RK4/r1B1b2P/nR4k1/4N1n1
IMG_17,r2PB1q1/4p3/3Q4/3p1N1b/2RK4/r1B1b2P/nR4k1/4N1n1
IMG_18,r2PB1q1/4p3/3Q4/3p1N1b/2RK4/r1B1b2P/nR4k1/4N1n1
IMG_19,r2PB1q1/4p3/3Q4/3p1N1b/2RK4/r1B1b2P/nR4k1/4N1n1
IMG_20,Nr2pb2/1Rq5/8/5r1K/bN3PBp/2n1k2n/Q1P5/2R1B3
IMG_21,Nr2pb2/1Rq5/8/5r1K/bN3PBp/2n1k2n/Q1P5/2R1B3
IMG_22,Nr2pb2/1Rq5/8/5r1K/bN3PBp/2n1k2n/Q1P5/2R1B3
IMG_23,Nr2pb2/1Rq5/8/5r1K/bN3PBp/2n1k2n/Q1P5/2R1B3
IMG_24,1N3P2/2qp1R2/n2B4/Rb2K3/4kn2/b1rB2pr/N1Q3P1/8
